Date,U_rate
1/3/2004,5.8
1/4/2004,5.6
1/5/2004,5.6
1/6/2004,5.6
1/7/2004,5.5
1/8/2004,5.4
1/9/2004,5.4
1/10/2004,5.5
1/11/2004,5.4
1/12/2004,5.4
1/1/2005,5.3
1/2/2005,5.4
1/3/2005,5.2
1/4/2005,5.2
1/5/2005,5.1
1/6/2005,5
1/7/2005,5
1/8/2005,4.9
1/9/2005,5
1/10/2005,5
1/11/2005,5
1/12/2005,4.9
1/1/2006,4.7
1/2/2006,4.8
1/3/2006,4.7
1/4/2006,4.7
1/5/2006,4.6
1/6/2006,4.6
1/7/2006,4.7
1/8/2006,4.7
1/9/2006,4.5
1/10/2006,4.4
1/11/2006,4.5
1/12/2006,4.4
1/1/2007,4.6
1/2/2007,4.5
1/3/2007,4.4
1/4/2007,4.5
1/5/2007,4.4
1/6/2007,4.6
1/7/2007,4.7
1/8/2007,4.6
1/9/2007,4.7
1/10/2007,4.7
1/11/2007,4.7
1/12/2007,5
1/1/2008,5
1/2/2008,4.9
1/3/2008,5.1
1/4/2008,5
1/5/2008,5.4
1/6/2008,5.6
1/7/2008,5.8
1/8/2008,6.1
1/9/2008,6.1
1/10/2008,6.5
1/11/2008,6.8
1/12/2008,7.3
1/1/2009,7.8
1/2/2009,8.3
1/3/2009,8.7
1/4/2009,9
1/5/2009,9.4
1/6/2009,9.5
1/7/2009,9.5
1/8/2009,9.6
1/9/2009,9.8
1/10/2009,10
1/11/2009,9.9
1/12/2009,9.9
1/1/2010,9.8
1/2/2010,9.8
1/3/2010,9.9
1/4/2010,9.9
1/5/2010,9.6
1/6/2010,9.4
1/7/2010,9.4
1/8/2010,9.5
1/9/2010,9.5
1/10/2010,9.4
1/11/2010,9.8
1/12/2010,9.3
1/1/2011,9.1
1/2/2011,9
1/3/2011,9
1/4/2011,9.1
1/5/2011,9
1/6/2011,9.1
1/7/2011,9
1/8/2011,9
1/9/2011,9
1/10/2011,8.8
1/11/2011,8.6
1/12/2011,8.5
1/1/2012,8.3
1/2/2012,8.3
1/3/2012,8.2
1/4/2012,8.2
1/5/2012,8.2
1/6/2012,8.2
1/7/2012,8.2
1/8/2012,8.1
1/9/2012,7.8
1/10/2012,7.8
1/11/2012,7.7
1/12/2012,7.9
1/1/2013,8
1/2/2013,7.7
1/3/2013,7.5
1/4/2013,7.6
1/5/2013,7.5
1/6/2013,7.5
1/7/2013,7.3
1/8/2013,7.2
1/9/2013,7.2
1/10/2013,7.2
1/11/2013,6.9
1/12/2013,6.7
1/1/2014,6.6
1/2/2014,6.7
1/3/2014,6.7
1/4/2014,6.2
1/5/2014,6.3
1/6/2014,6.1
1/7/2014,6.2
1/8/2014,6.1
1/9/2014,5.9
1/10/2014,5.7
1/11/2014,5.8
1/12/2014,5.6
1/1/2015,5.7
1/2/2015,5.5
1/3/2015,5.4
1/4/2015,5.4
1/5/2015,5.6
1/6/2015,5.3
1/7/2015,5.2
1/8/2015,5.1
1/9/2015,5
1/10/2015,5
1/11/2015,5.1
1/12/2015,5
1/1/2016,4.8
1/2/2016,4.9
1/3/2016,5
1/4/2016,5.1
1/5/2016,4.8
1/6/2016,4.9
1/7/2016,4.8
1/8/2016,4.9
1/9/2016,5
1/10/2016,4.9
1/11/2016,4.7
1/12/2016,4.7
1/1/2017,4.7
1/2/2017,4.6
1/3/2017,4.4
1/4/2017,4.4
1/5/2017,4.4
1/6/2017,4.3
1/7/2017,4.3
1/8/2017,4.4
1/9/2017,4.3
1/10/2017,4.2
1/11/2017,4.2
1/12/2017,4.1
1/1/2018,4
1/2/2018,4.1
1/3/2018,4
1/4/2018,4
1/5/2018,3.8
1/6/2018,4
1/7/2018,3.8
1/8/2018,3.8
1/9/2018,3.7
1/10/2018,3.8
1/11/2018,3.8
1/12/2018,3.9
1/1/2019,4
1/2/2019,3.8
1/3/2019,3.8
1/4/2019,3.7
1/5/2019,3.6
1/6/2019,3.6
1/7/2019,3.7
1/8/2019,3.6
1/9/2019,3.5
1/10/2019,3.6
1/11/2019,3.6
1/12/2019,3.6
1/1/2020,3.6
1/2/2020,3.5
1/3/2020,4.4
1/4/2020,14.8
1/5/2020,13.2
1/6/2020,11
1/7/2020,10.2
1/8/2020,8.4
1/9/2020,7.8
1/10/2020,6.8
1/11/2020,6.7
1/12/2020,6.7
1/1/2021,6.4
1/2/2021,6.2
1/3/2021,6.1
1/4/2021,6.1
1/5/2021,5.8
1/6/2021,5.9
1/7/2021,5.4
1/8/2021,5.1
1/9/2021,4.7
1/10/2021,4.5
1/11/2021,4.1
1/12/2021,3.9
1/1/2022,4
1/2/2022,3.8
1/3/2022,3.6
1/4/2022,3.7
1/5/2022,3.6
1/6/2022,3.6
1/7/2022,3.5
1/8/2022,3.6
1/9/2022,3.5
1/10/2022,3.6
1/11/2022,3.6
1/12/2022,3.5
1/1/2023,3.4
1/2/2023,3.6
1/3/2023,3.5
1/4/2023,3.4
1/5/2023,3.7
1/6/2023,3.6
1/7/2023,3.5
1/8/2023,3.8
1/9/2023,3.8
1/10/2023,3.8
1/11/2023,3.7
1/12/2023,3.7
1/1/2024,3.7
1/2/2024,3.9
1/3/2024,3.8
